game,total_purchasers,purchased_and_played,conversion_rate
"Clash of Puppets",1,1,100.0
"Clockwork Empires",1,1,100.0
"Clockwork Tales Of Glass and Ink",3,3,100.0
"Close Combat - Gateway to Caen",1,1,100.0
"Cloud Chamber",1,1,100.0
"Cloudberry Kingdom",1,1,100.0
"Cloudy with a Chance of Meatballs",1,1,100.0
"Codename Gordon",11,11,100.0
"Codename Panzers - Cold War",2,2,100.0
"Coffin Dodgers",4,4,100.0
Collapse,2,2,100.0
"Colonial Conquest",1,1,100.0
"Comanche 4",1,1,100.0
"Commander Conquest of the Americas",5,5,100.0
"Community College Hero Trial by Fire",1,1,100.0
Coniclysm,1,1,100.0
"Constant C",1,1,100.0
Convoy,2,2,100.0
Cosmonautica,3,3,100.0
Cosmophony,1,1,100.0
Cradle,3,3,100.0
Crawl,1,1,100.0
CreaVures,1,1,100.0
"Creeper World 3 Arc Eternal",4,4,100.0
"Cricket Captain 2014",2,2,100.0
"Critter Crunch",1,1,100.0
"Crusaders Thy Kingdom Come",1,1,100.0
"Crysis 2",7,7,100.0
Cubot,1,1,100.0
"Cultures - Northland",1,1,100.0
Cyto,1,1,100.0
"D.I.P.R.I.P. Warm Up",14,14,100.0
D.U.S.T.,1,1,100.0
"D4 Dark Dreams Don't Die",1,1,100.0
"DC Universe Online",154,154,100.0
"DCS Black Shark",1,1,100.0
"Damnation City of Death",1,1,100.0
"Dangerous High School Girls in Trouble!",2,2,100.0
"Dangerous Waters",1,1,100.0
"Dark Arcana The Carnival",2,2,100.0
"Dark Echo",1,1,100.0
DarkEnd,1,1,100.0
Darkstone,1,1,100.0
Daylight,3,3,100.0
"Dead Mountaineer's Hotel",1,1,100.0
"Dead State",2,2,100.0
"Dead or Alive 5 Last Round",1,1,100.0
"Death Skid Marks",1,1,100.0
Deathtrap,2,2,100.0
"Delta Force 2",1,1,100.0
"Dementium II HD",3,3,100.0
"Demon Hunter Chronicles from Beyond",1,1,100.0
"Depths of Peril",1,1,100.0
Descent,3,3,100.0
"Descent 2",2,2,100.0
"Desktop Dungeons",3,3,100.0
"Desperados - Wanted Dead or Alive",2,2,100.0
"Devil May Cry 4 Special Edition",3,3,100.0
"Diamond Dan",1,1,100.0
"Diaper Dash",1,1,100.0
"Diner Dash Hometown Hero",1,1,100.0
"DinerTown Tycoon",1,1,100.0
"Disciples Sacred Lands Gold",1,1,100.0
"Disney Infinity 2.0",1,1,100.0
"Distant Worlds Universe",1,1,100.0
"Dive to the Titanic",1,1,100.0
"Divinity II - Ego Draconis",2,2,100.0
"Doctor Who The Eternity Clock",2,2,100.0
Dodge,1,1,100.0
"Dominions 4",2,2,100.0
"Don Bradman Cricket 14",1,1,100.0
"Doodle God",1,1,100.0
"Dota 2",4841,4841,100.0
"Down To One",1,1,100.0
"Draconian Wars",1,1,100.0
"Dragon Age II",5,5,100.0
"Dragon Age Origins Character Creator",8,8,100.0
"Dragon The Game",1,1,100.0
"Dragon's Lair 2 Time Warp",1,1,100.0
"Drawn The Painted Tower",1,1,100.0
Droplitz,8,8,100.0
"Duck Dynasty",1,1,100.0
"Duck Game",7,7,100.0
"Dungeon Souls",2,2,100.0
"Dungeons & Dragons Daggerdale",6,6,100.0
"Dungeons 2",6,6,100.0
"Dustoff Heli Rescue",1,1,100.0
"Dynasty Warriors 8 - Empires",2,2,100.0
"Dynomite! Deluxe",1,1,100.0
"Dysan the Shapeshifter",1,1,100.0
ENKI,1,1,100.0
"East India Company Pirate Bay",1,1,100.0
"East India Company Privateer",1,1,100.0
"Eastside Hockey Manager",1,1,100.0
"Eaten Alive",1,1,100.0
Echelon,1,1,100.0
"Echo of the Wilds",1,1,100.0
"Eden Star  Destroy - Build - Protect",3,3,100.0
"Electronic Super Joy",8,8,100.0
Eleusis,1,1,100.0
"Else Heart.Break()",1,1,100.0
"Emergency 2012",1,1,100.0
"Emergency 2013",2,2,100.0
"Emergency 5 - Deluxe Edition",1,1,100.0
Empires,5,5,100.0
"Empyrion - Galactic Survival",7,7,100.0
"Enemy Front",5,5,100.0
"Enforcer Police Crime Action",3,3,100.0
"Enigmatis The Ghosts of Maple Creek",2,2,100.0
"Environmental Station Alpha",1,1,100.0
Eradicator,1,1,100.0
"Escape Goat",3,3,100.0
"Eschalon Book 1",1,1,100.0
"Estranged Act I",12,12,100.0
"Eternal Silence",10,10,100.0
"European Ship Simulator",1,1,100.0
"EverQuest Secrets of Faydwer",1,1,100.0
"EverQuest Seeds of Destruction",1,1,100.0
"Everyday Genius SquareLogic",1,1,100.0
"Evochron Mercenary",5,5,100.0
Evolve,34,34,100.0
"Executive Assault",1,1,100.0
"F1 2010",6,6,100.0
"F1 2014",8,8,100.0
"F1 Race Stars",4,4,100.0
"FIFA Manager 09",1,1,100.0
"FIFA Manager 11",1,1,100.0
FLOCK!,1,1,100.0
FRONTIERS,1,1,100.0
"FX Football - The Manager for Every Football Fan",3,3,100.0
FaceRig,13,13,100.0
"Fading Hearts",2,2,100.0
"Fair Strike",1,1,100.0
"Fairy Tale Mysteries The Puppet Thief Collector's Edition",1,1,100.0
"Fall of the New Age Premium Edition",1,1,100.0
"Fallen Enchantress",4,4,100.0
"Family Guy Back to the Multiverse",1,1,100.0
"Fancy Skulls",2,2,100.0
"Farlight Explorers",1,1,100.0
"Farm for your Life",2,2,100.0
"Farming Giant",1,1,100.0
"Farming Simulator 2011",8,8,100.0
"Fast & Furious Showdown",1,1,100.0
"Fatty Maze's Adventures",1,1,100.0
"Fiends of Imprisonment",1,1,100.0
"Final Hours of Titanfall",1,1,100.0
"Final Slam 2",1,1,100.0
Fingered,4,4,100.0
"Finn and Jake's Epic Quest",1,1,100.0
Fire,1,1,100.0
Flashback,1,1,100.0
"Flower Shop Winter In Fairbrook",2,2,100.0
"Folk Tale",4,4,100.0
"FootLOL Epic Fail League",6,6,100.0
"Football Manager 2013",104,104,100.0
"Football Manager 2016",27,27,100.0
"Football Tactics",1,1,100.0
"Ford Racing 3",1,1,100.0
"Foreign Legion Buckets of Blood",5,5,100.0
"Foreign Legion Multi Massacre",1,1,100.0
"Formula Fusion",1,1,100.0
"Franchise Hockey Manager 2",1,1,100.0
"Franchise Hockey Manager 2014",3,3,100.0
"Freight Tycoon Inc.",1,1,100.0
"Fritz Chess 14",1,1,100.0
"From The Depths",2,2,100.0
GALAK-Z,2,2,100.0
"GUILTY GEAR XX ACCENT CORE PLUS R",1,1,100.0
"Game Dev Tycoon",71,71,100.0
"GameMaker Studio",26,26,100.0
GamersGoMakers,1,1,100.0
Gaokao.Love.100Days,2,2,100.0
Gateways,1,1,100.0
"Gemini Wars",2,2,100.0
"GestureWorks Gameplay",1,1,100.0
"Ghost Encounters Deadwood - Collector's Edition",1,1,100.0
"Ghost in the Shell Stand Alone Complex First Assault Online",2,2,100.0
"Ghostbusters Sanctum of Slime",1,1,100.0
"Global Agenda - Beta",1,1,100.0
"Governor of Poker 2 Premium Edition",1,1,100.0
"Grand Ages Medieval",3,3,100.0
"Grand Class Melee 2",1,1,100.0
"Gravity Ghost",1,1,100.0
"Grey Goo",12,12,100.0
"Grey's Anatomy The Video Game",1,1,100.0
"Grim Legends 2 Song of the Dark Swan",1,1,100.0
"Guild Commander",1,1,100.0
"Guilty Gear Isuka",1,1,100.0
GunWorld,1,1,100.0
"Gunslugs 2",1,1,100.0
"Gunspell Steam Edition",1,1,100.0
HELLDIVERS,6,6,100.0
"Hard Truck Apocalypse / Ex Machina",1,1,100.0
Hardland,1,1,100.0
"Harvest Massive Encounter",3,3,100.0
Hatred,7,7,100.0
"Haunt the House Terrortown",2,2,100.0
Haunted,1,1,100.0
"Haunted House",1,1,100.0
"Heavy Bullets",2,2,100.0
"Hegemony Gold Wars of Ancient Greece",2,2,100.0
"Hegemony III Clash of the Ancients",1,1,100.0
"Hegemony Philip of Macedon",1,1,100.0
"Hegemony Rome The Rise of Caesar",1,1,100.0
"Hello Kitty and Sanrio Friends Racing",1,1,100.0
"Heroes Over Europe",1,1,100.0
"Heroes and Titans Online",1,1,100.0
"Heroes of a Broken Land",1,1,100.0
"Hidden Object Bundle 4 in 1",1,1,100.0
"Higurashi When They Cry - Ch.1 Onikakushi",1,1,100.0
"Hollywood Visionary",2,2,100.0
"Holy Potatoes! A Weapon Shop?!",4,4,100.0
"Homebrew - Vehicle Sandbox",1,1,100.0
Hook,1,1,100.0
"Horizon Shift",1,1,100.0
"Hotel Dash",1,1,100.0
"Hotel Giant 2",1,1,100.0
Hurtworld,9,9,100.0
I-Fluid,1,1,100.0
INK,1,1,100.0
"Ice Age Continental Drift Arctic Games",1,1,100.0
Ikaruga,2,2,100.0
"Imagine Earth",1,1,100.0
"Immortal Empire",2,2,100.0
Immune,1,1,100.0
"Industry Giant 2",1,1,100.0
"Infect and Destroy",1,1,100.0
Infinifactory,2,2,100.0
"Insane 2",1,1,100.0
"Inside The Gear",1,1,100.0
"Inside a Star-filled Sky ",1,1,100.0
"Insurgency Modern Infantry Combat",67,67,100.0
"Introduction to 3D Prop Modeling and Design - Viking Armor and Weapons",1,1,100.0
"Invisible, Inc.",9,9,100.0
Ironcast,1,1,100.0
"Island Flight Simulator",1,1,100.0
"Jack Keane",1,1,100.0
"Jacob Jones and the Bigfoot Mystery  Episode 2",1,1,100.0
"Jagged Alliance Flashback",2,2,100.0
"Jets'n'Guns Gold",2,2,100.0
"Joe Danger",3,3,100.0
"Journey Of The Light",2,2,100.0
Jumpdrive,1,1,100.0
"Just Cause 2 Multiplayer Mod",86,86,100.0
"Just Cause 3",15,15,100.0
KHOLAT,2,2,100.0
KWAAN,1,1,100.0
"Karate Master 2 Knock Down Blow",1,1,100.0
Kidnapped,2,2,100.0
"Kill Fun Yeah",1,1,100.0
"Killing Floor Beta",1,1,100.0
"Kinetic Void",3,3,100.0
"King of Dragon Pass",1,1,100.0
"King's Quest",3,3,100.0
Kingdom,4,4,100.0
"Kingdom Tales 2",2,2,100.0
Kingdoms,1,1,100.0
"Kingdoms Rise",2,2,100.0
"Kings of Kung Fu",1,1,100.0
"Knightmare Tower",1,1,100.0
"Kohan II Kings of War",1,1,100.0
"Kohan Immortal Sovereigns",1,1,100.0
"Korwin The Game",1,1,100.0
Kuros,1,1,100.0
"LA Cops",1,1,100.0
"LEGO Jurassic World",7,7,100.0
"LEVEL 22",1,1,100.0
"Lakeview Cabin Collection",4,4,100.0
Landmark,5,5,100.0
"Last Knight Rogue Rider Edition",1,1,100.0
"Left in the Dark No One on Board",2,2,100.0
"Legend of Fae",1,1,100.0
"Legends of Eisenwald",2,2,100.0
"Legends of Pegasus",3,3,100.0
"Leo's Fortune",1,1,100.0
"Life is Feudal Your Own",13,13,100.0
"Life is Hard",1,1,100.0
"Life of Pixel",1,1,100.0
"Lili Child of Geos",1,1,100.0
"Little Big Adventure 2",1,1,100.0
"Little Farm",1,1,100.0
"Lords of Magic Special Edition",1,1,100.0
"Lords of the Black Sun",3,3,100.0
"Lords of the Realm II",1,1,100.0
"Lost Horizon",3,3,100.0
"Lost Planet Extreme Condition - Colonies Edition",2,2,100.0
Lucidity,1,1,100.0
Lumines,1,1,100.0
"Lunch Truck Tycoon",1,1,100.0
"MASSIVE CHALICE",4,4,100.0
MDK,1,1,100.0
"MX vs. ATV Supercross Encore",1,1,100.0
"Magic The Gathering - Duels of the Planeswalkers 2013",18,18,100.0
"Magicka Wizards of the Square Tablet",1,1,100.0
Manyland,1,1,100.0
"Mars Colony Challenger",1,1,100.0
"Max and the Magic Marker",1,1,100.0
"Memento Mori 2",1,1,100.0
"Mensa Academy",2,2,100.0
"Metaverse Construction Kit",3,3,100.0
"Microsoft Flight",2,2,100.0
"Midnight Mysteries 3 Devil on the Mississippi",2,2,100.0
"Midnight Mysteries 4 Haunted Houdini",2,2,100.0
"Midnight Mysteries Salem Witch Trials",2,2,100.0
"Might & Magic Heroes VII ",4,4,100.0
"Millennium - A New Hope",1,1,100.0
"Mind Path to Thalamus Enhanced Edition",3,3,100.0
"Minecraft Story Mode - A Telltale Games Series",7,7,100.0
Minimon,1,1,100.0
"Mission Control NanoMech",1,1,100.0
"MoW Face Off XL",2,2,100.0
Monochroma,1,1,100.0
Monopoly,4,4,100.0
"Mordheim City of the Damned",2,2,100.0
"Mortal Kombat X",38,38,100.0
MotoGP13,1,1,100.0
MotoGP14,2,2,100.0
Motorbike,1,1,100.0
"Mountain Crime Requital",1,1,100.0
"Movie Studio 13 Platinum - Steam Powered",1,1,100.0
"Mr. Bree+",1,1,100.0
"Mushroom 11",1,1,100.0
"Music Creator 6 Touch",1,1,100.0
"Mystery P.I. The Lottery Ticket",2,2,100.0
"Mystery PI The Vegas Heist",2,2,100.0
"Mystery of Neuschwanstein",1,1,100.0
"NASCAR The Game 2013",1,1,100.0
"NEKOPARA Vol. 1",9,9,100.0
"NOBUNAGA'S AMBITION Kakushin with Power Up Kit",1,1,100.0
"NOBUNAGA'S AMBITION Sphere of Influence",3,3,100.0
"NOT A HERO",3,3,100.0
"Nail'd",5,5,100.0
"Nancy Drew Alibi in Ashes",1,1,100.0
"Nancy Drew Ghost Dogs of Moon Lake ",2,2,100.0
"Nancy Drew Ghost of Thornton Hall",2,2,100.0
"Nancy Drew The Captive Curse",1,1,100.0
"Nancy Drew The Creature of Kapu Cave",1,1,100.0
"Nancy Drew The Deadly Device",2,2,100.0
"Nancy Drew The Haunted Carousel",1,1,100.0
"Nancy Drew Tomb of the Lost Queen",2,2,100.0
"Narco Terror",1,1,100.0
"Necronomicon The Dawning of Darkness",1,1,100.0
Nevermind,1,1,100.0
"New Star Soccer 5",1,1,100.0
"Night Mysteries The Amphora Prisoner",1,1,100.0
"NightShift Code",1,1,100.0
"Nimble Writer",1,1,100.0
"Ninja Reflex Steamworks Edition",2,2,100.0
"Nobunaga's Ambition Souzou with Power Up Kit",3,3,100.0
"Noir Syndrome",2,2,100.0
"Nom Nom Galaxy",1,1,100.0
"Nostradamus The Last Prophecy",1,1,100.0
"Nuclear Throne",11,11,100.0
"OCEAN CITY RACING",1,1,100.0
"OMSI 2",5,5,100.0
Obludia,1,1,100.0
"Obscure 2",1,1,100.0
"Oceanhorn Monster of Uncharted Seas",1,1,100.0
"Of Guards And Thieves",2,2,100.0
"Offworld Trading Company",6,6,100.0
Oh...Sir!,1,1,100.0
"One Late Night Deadline",1,1,100.0
"One Night",1,1,100.0
"Onimusha 3 Demon Siege",1,1,100.0
"Operation Z",1,1,100.0
"Order of War Challenge",1,1,100.0
"Out There  Edition",3,3,100.0
"Out of the Park Baseball 16",2,2,100.0
"Outcast 1.1",2,2,100.0
"Over the Dream",1,1,100.0
"PC Gamer",6,6,100.0
"PT Boats Knights of the Sea",1,1,100.0
"PT Boats South Gambit",1,1,100.0
"Pandora First Contact",2,2,100.0
"Panzer Corps",2,2,100.0
"Panzer Tactics HD",1,1,100.0
Parcel,1,1,100.0
Perpetuum,4,4,100.0
"Petz Horsez 2",1,1,100.0
"Pixel Space",1,1,100.0
"PixelJunk Shooter Ultimate",1,1,100.0
"Planet Explorers",12,12,100.0
"Planet of the Eyes",1,1,100.0
Planetbase,8,8,100.0
"Please, Dont Touch Anything",2,2,100.0
"Point Perfect",1,1,100.0
"Poly Bridge",12,12,100.0
"Portal of Evil Stolen Runes Collector's Edition",1,1,100.0
"Pound of Ground",1,1,100.0
"Pretty Girls Mahjong Solitaire",1,1,100.0
"Primal Carnage Extinction",7,7,100.0
"Prison Tycoon 3 Lockdown",1,1,100.0
"Pro Cycling Manager 2013",3,3,100.0
"Pro Cycling Manager 2014",2,2,100.0
"Pro Evolution Soccer 2013",1,1,100.0
"Pro Evolution Soccer 2014",3,3,100.0
"Pro Evolution Soccer 2015",12,12,100.0
"Pro Evolution Soccer 2016",3,3,100.0
"Pro Rugby Manager 2015",1,1,100.0
"Project AURA",1,1,100.0
"Psycho Starship Rampage",1,1,100.0
"Putt-Putt Joins the Circus",1,1,100.0
"Putt-Putt Saves the Zoo",1,1,100.0
"Puzzle Chronicles",1,1,100.0
"Puzzle Quest 2",1,1,100.0
"Puzzle Quest Galactrix",1,1,100.0
Pyroblazer,1,1,100.0
"Quantum of Solace",2,2,100.0
"Quarries of Scred",1,1,100.0
"R.B.I. Baseball 15",1,1,100.0
RECYCLE,1,1,100.0
"RESCUE 2",1,1,100.0
"RIDE Game",3,3,100.0
"RISK Factions",6,6,100.0
RONIN,1,1,100.0
"RPG Maker MV",1,1,100.0
"RPG Tycoon",3,3,100.0
"RWBY Grimm Eclipse",3,3,100.0
"Rabbit Hole 3D Steam Edition",2,2,100.0
"Raiden Legacy",1,1,100.0
"Railroad Pioneer",1,1,100.0
Rake,2,2,100.0
"Rampage Knights",6,6,100.0
"Randal's Monday",2,2,100.0
"Reach for the Sun",1,1,100.0
Reassembly,6,6,100.0
"Rebel Galaxy",10,10,100.0
"Rebuild 3 Gangs of Deadsville",1,1,100.0
"Red Bull X-Fighters",1,1,100.0
"Reign Of Kings",32,32,100.0
"Renowned Explorers International Society",2,2,100.0
"Reprisal Universe",2,2,100.0
"Rescue Team 5",1,1,100.0
"Retro-Pixel Castles",1,1,100.0
"Revelations 2012",2,2,100.0
"Reverse Crawl",1,1,100.0
Reversi,1,1,100.0
"Ride! Carnival Tycoon",1,1,100.0
"Riding Star",1,1,100.0
Rigonauts,1,1,100.0
"Rising World",2,2,100.0
"Road Not Taken",3,3,100.0
"Road Redemption",6,6,100.0
"Robot Rescue Revolution",1,1,100.0
"Rogue Shooter The FPS Roguelike",3,3,100.0
Roguelands,1,1,100.0
"Romance of the Three Kingdoms Maker",1,1,100.0
"Rooms The Unsolvable Puzzle",1,1,100.0
"Royal Defense",1,1,100.0
"Rugby Challenge 2",1,1,100.0
"Rugby League Team Manager 2015",2,2,100.0
"Rulers of Nations",1,1,100.0
Runers,1,1,100.0
"Runestone Keeper",4,4,100.0
"SAMURAI WARRIORS 4-II",1,1,100.0
"SCHAR Blue Shield Alliance",1,1,100.0
SOMA,13,13,100.0
SPACECOM,1,1,100.0
"Sakura Angels",4,4,100.0
"Sakura Swim Club",1,1,100.0
Salt,1,1,100.0
"Salvation Prophecy",2,2,100.0
"Sam & Max 104 Abe Lincoln Must Die!",7,7,100.0
"Samantha Swift and the Golden Touch",1,1,100.0
Sandmason,1,1,100.0
Sanitarium,1,1,100.0
"Satellite Reign",5,5,100.0
Saw,1,1,100.0
"Science Girls",1,1,100.0
"Season Match 3 - Curse of the Witch Crow",1,1,100.0
"Second Chance Heroes",1,1,100.0
"Secret Ponchos",2,2,100.0
"Secrets of Grindea",3,3,100.0
"Serious Sam HD The Second Encounter",113,113,100.0
Servo,1,1,100.0
"Seven Kingdoms 2 HD",1,1,100.0
"Shallow Space",1,1,100.0
"Shantae and the Pirate's Curse",4,4,100.0
"Shark Attack Deathmatch 2",1,1,100.0
"Shelter 2",3,3,100.0
Sheltered,5,5,100.0
"Ship Simulator Maritime Search and Rescue",1,1,100.0
"Shoppe Keep",5,5,100.0
SickBrick,1,1,100.0
"Signal Ops",1,1,100.0
"Silent Hunter 5 Battle of the Atlantic",3,3,100.0
"Silent Hunter III",6,6,100.0
SimpleRockets,1,1,100.0
"Ski Region Simulator",2,2,100.0
"Sky Nations",1,1,100.0
"Slam Bolt Scrappers",2,2,100.0
"SlamIt Pinball Big Score",1,1,100.0
Smashball,14,14,100.0
"Smooth Operators",1,1,100.0
"Sniper Elite Zombie Army 2",1,1,100.0
"Software Inc.",5,5,100.0
"Sol Survivor",3,3,100.0
"Sorcerer King",2,2,100.0
"Source Filmmaker",66,66,100.0
"Space Ace",2,2,100.0
"Space Colony",1,1,100.0
"Space Rangers HD A War Apart",5,5,100.0
"Space Warp",1,1,100.0
"SpaceForce Rogue Universe",1,1,100.0
"Special Forces Team X",2,2,100.0
Spectraball,4,4,100.0
Spermination,2,2,100.0
"Splatter - Blood Red Edition",1,1,100.0
Split/Second,2,2,100.0
Squad,2,2,100.0
Squirreltopia,1,1,100.0
"Star Crusade CCG",2,2,100.0
"Star Ruler 2",2,2,100.0
"Star Traders 4X Empires",1,1,100.0
"StarDrive 2",4,4,100.0
StarForge,19,19,100.0
"Stargate Resistance",1,1,100.0
Starscape,1,1,100.0
Steredenn,1,1,100.0
"Stick RPG 2",1,1,100.0
Stonehearth,6,6,100.0
Stormrise,4,4,100.0
"Strategic War in Europe",2,2,100.0
"Street Fighter IV",9,9,100.0
"Street Fighter V Beta",2,2,100.0
"Street Fighter X Tekken",4,4,100.0
"Stubbs the Zombie in Rebel Without a Pulse",2,2,100.0
"Sublevel Zero",1,1,100.0
Submerged,1,1,100.0
"Substance Painter",1,1,100.0
"Sunrider Academy",1,1,100.0
"Super 3-D Noah's Ark",1,1,100.0
"Super Chibi Knight",1,1,100.0
"Super Game Jam",1,1,100.0
"Supreme Ruler 2020 Gold",2,2,100.0
"Survival Postapocalypse Now",9,9,100.0
Synergy,44,44,100.0
"T.E.C. 3001",1,1,100.0
TIS-100,2,2,100.0
TOXIKK,1,1,100.0
"Take On Mars",4,4,100.0
"Tales of Maj'Eyal",4,4,100.0
"Tales of Zestiria",7,7,100.0
"Talismania Deluxe",1,1,100.0
"Tap Heroes",2,2,100.0
Taxi,1,1,100.0
"Team Fortress 2",2323,2323,100.0
"Teddy Floppy Ear - Kayaking",1,1,100.0
"Teddy Floppy Ear - The Race",2,2,100.0
"Teenage Mutant Ninja Turtles Out of the Shadows",6,6,100.0
"Terminator Salvation",1,1,100.0
TerraTech,6,6,100.0
